Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Cybersecurity Analyst,Technology,Stable,Moderate,99751.0,Bachelor,3,15303,14666,69.0,37.0,Hyderabad,73.0
Doctor,Healthcare,Stable,Low,189867.0,Doctorate,6,1722,1657,1.0,11.0,Jaipur,52.0
Doctor,Healthcare,Stable,Low,178742.0,Doctorate,8,3957,3783,46.0,6.0,Delhi,38.0
Research Scientist,Research,Active,Low,153762.0,Doctorate,5,3901,5344,37.0,8.0,Noida,15.0
Data Scientist,Technology,Active,High,144071.0,Master,3,12852,15036,50.0,32.0,Delhi,21.0
Nurse,Healthcare,Stable,Low,78022.0,Bachelor,5,16669,15841,50.0,17.0,Jaipur,57.0
Nurse,Healthcare,Stable,Low,92382.0,Bachelor,3,3003,3082,40.0,17.0,Bengaluru,61.0
Doctor,Healthcare,Stable,Low,179817.0,Doctorate,7,16677,15602,16.0,19.0,Jaipur,50.0
Doctor,Healthcare,Stable,Low,166922.0,Doctorate,10,3901,4261,22.0,13.0,Delhi,18.0
Graphic Designer,Media,Active,Moderate,60087.0,Bachelor,1,8755,11090,23.0,45.0,Delhi,60.0
Nurse,Healthcare,Stable,Low,76859.0,Bachelor,4,10911,9828,48.0,12.0,Kolkata,35.0
Data Scientist,Technology,Active,High,139133.0,Master,3,3829,5396,76.0,4.0,Noida,25.0
Factory Worker,Manufacturing,Declining,High,44007.0,High School,2,3849,2512,39.0,94.0,Mumbai,62.0
Cybersecurity Analyst,Technology,Stable,Moderate,79017.0,Bachelor,4,10915,12302,73.0,23.0,Hyderabad,64.0
Doctor,Healthcare,Stable,Low,172289.0,Doctorate,8,17460,17580,44.0,4.0,Pune,24.0
Accountant,Finance,Stable,Moderate,76435.0,Bachelor,0,3249,3706,26.0,67.0,Hyderabad,86.0
Cybersecurity Analyst,Technology,Stable,Moderate,101359.0,Bachelor,3,15169,15652,73.0,32.0,Delhi,38.0
Accountant,Finance,Stable,Moderate,70060.0,Bachelor,2,15008,16628,17.0,70.0,Noida,64.0
Teacher,Education,Stable,Low,58601.0,Master,3,3856,3866,52.0,26.0,Delhi,13.0
Accountant,Finance,Stable,Moderate,67646.0,Bachelor,0,8838,8685,54.0,61.0,Chennai,49.0
AI Engineer,Technology,Active,High,145351.0,Master,5,4800,6464,81.0,23.0,Mumbai,61.0
AI Engineer,Technology,Active,High,124797.0,Master,5,1849,2450,75.0,22.0,Delhi,39.0
Factory Worker,Manufacturing,Declining,High,54667.0,High School,2,3828,3232,38.0,97.0,Hyderabad,51.0
Cashier,Retail,Declining,High,28050.0,High School,0,3738,3349,19.0,93.0,Hyderabad,55.0
Data Scientist,Technology,Active,High,124424.0,Master,2,4023,6040,76.0,20.0,Chennai,5.0
Factory Worker,Manufacturing,Declining,High,36635.0,High School,3,11004,8049,43.0,99.0,Noida,62.0
Data Scientist,Technology,Active,High,122052.0,Master,2,6333,7102,74.0,17.0,Jaipur,54.0
Cashier,Retail,Declining,High,34091.0,High School,0,2662,1641,40.0,80.0,Noida,37.0
Cashier,Retail,Declining,High,30184.0,High School,1,3301,2845,23.0,87.0,Jaipur,70.0
Teacher,Education,Stable,Low,56298.0,Master,2,14505,13472,42.0,22.0,Chennai,34.0
Nurse,Healthcare,Stable,Low,88124.0,Bachelor,1,6170,6682,23.0,17.0,Hyderabad,38.0
Software Engineer,Technology,Active,Moderate,117716.0,Bachelor,4,4528,5367,93.0,35.0,Jaipur,17.0
Factory Worker,Manufacturing,Declining,High,51841.0,High School,2,2182,1736,26.0,88.0,Noida,62.0
AI Engineer,Technology,Active,High,169056.0,Master,6,3297,3979,69.0,7.0,Hyderabad,59.0
Cybersecurity Analyst,Technology,Stable,Moderate,95654.0,Bachelor,2,11516,13120,82.0,44.0,Kolkata,59.0
Cashier,Retail,Declining,High,26091.0,High School,0,7779,5229,33.0,92.0,Mumbai,46.0
Accountant,Finance,Stable,Moderate,78755.0,Bachelor,2,5967,6574,17.0,62.0,Hyderabad,40.0
Teacher,Education,Stable,Low,61100.0,Master,5,14064,14747,35.0,19.0,Ahmedabad,40.0
Data Scientist,Technology,Active,High,144919.0,Master,2,10843,16017,70.0,21.0,Mumbai,40.0
Accountant,Finance,Stable,Moderate,67985.0,Bachelor,1,3787,4310,39.0,63.0,Bengaluru,43.0
Graphic Designer,Media,Active,Moderate,71762.0,Bachelor,3,8132,12166,31.0,35.0,Noida,51.0
Factory Worker,Manufacturing,Declining,High,44834.0,High School,2,4022,3494,14.0,94.0,Jaipur,52.0
Software Engineer,Technology,Active,Moderate,102357.0,Bachelor,0,17586,22608,92.0,32.0,Ahmedabad,35.0
Doctor,Healthcare,Stable,Low,187901.0,Doctorate,11,2171,2601,53.0,1.0,Pune,33.0
Data Scientist,Technology,Active,High,139904.0,Master,2,4670,5856,55.0,23.0,Hyderabad,68.0
Research Scientist,Research,Active,Low,143051.0,Doctorate,6,7748,9914,37.0,6.0,Delhi,64.0
Data Scientist,Technology,Active,High,103808.0,Master,4,9159,11484,56.0,23.0,Chennai,41.0
Doctor,Healthcare,Stable,Low,190558.0,Doctorate,7,13054,14786,43.0,1.0,Kolkata,63.0
Data Scientist,Technology,Active,High,115238.0,Master,3,17157,23393,70.0,23.0,Mumbai,69.0
Doctor,Healthcare,Stable,Low,173605.0,Doctorate,7,16556,18505,16.0,6.0,Kolkata,44.0
Nurse,Healthcare,Stable,Low,78437.0,Bachelor,5,2901,3134,69.0,8.0,Ahmedabad,24.0
Accountant,Finance,Stable,Moderate,69941.0,Bachelor,3,12362,13916,39.0,71.0,Delhi,28.0
Nurse,Healthcare,Stable,Low,70702.0,Bachelor,3,16048,16752,43.0,11.0,Delhi,34.0
Cybersecurity Analyst,Technology,Stable,Moderate,117254.0,Bachelor,3,3465,3843,60.0,36.0,Kolkata,75.0
Research Scientist,Research,Active,Low,137788.0,Doctorate,5,7847,9696,32.0,6.0,Mumbai,57.0
Teacher,Education,Stable,Low,52855.0,Master,8,1855,2107,44.0,26.0,Hyderabad,64.0
Graphic Designer,Media,Active,Moderate,70673.0,Bachelor,2,17300,22673,19.0,31.0,Noida,60.0
Research Scientist,Research,Active,Low,130387.0,Doctorate,9,3517,4209,42.0,11.0,Mumbai,47.0
Graphic Designer,Media,Active,Moderate,55324.0,Bachelor,3,2797,4155,58.0,46.0,Pune,61.0
Research Scientist,Research,Active,Low,169377.0,Doctorate,7,15401,19438,59.0,11.0,Bengaluru,38.0
Cybersecurity Analyst,Technology,Stable,Moderate,89940.0,Bachelor,4,13422,12299,50.0,41.0,Hyderabad,41.0
Data Scientist,Technology,Active,High,127184.0,Master,3,14910,18700,69.0,26.0,Kolkata,70.0
Accountant,Finance,Stable,Moderate,73880.0,Bachelor,0,1744,1581,30.0,81.0,Bengaluru,37.0
Nurse,Healthcare,Stable,Low,99972.0,Bachelor,4,10205,11264,50.0,7.0,Kolkata,32.0
Factory Worker,Manufacturing,Declining,High,41316.0,High School,2,14005,11628,15.0,90.0,Kolkata,52.0
Graphic Designer,Media,Active,Moderate,66248.0,Bachelor,4,9046,10581,52.0,33.0,Delhi,51.0
Cybersecurity Analyst,Technology,Stable,Moderate,100802.0,Bachelor,5,8149,9300,66.0,33.0,Ahmedabad,25.0
Data Scientist,Technology,Active,High,132167.0,Master,3,1959,2475,86.0,17.0,Ahmedabad,55.0
Software Engineer,Technology,Active,Moderate,108952.0,Bachelor,2,11429,12889,68.0,29.0,Noida,29.0
Data Scientist,Technology,Active,High,131225.0,Master,4,1865,2730,79.0,22.0,Jaipur,29.0
Accountant,Finance,Stable,Moderate,80042.0,Bachelor,3,3152,3411,44.0,74.0,Chennai,40.0
Graphic Designer,Media,Active,Moderate,63328.0,Bachelor,0,2591,3083,44.0,49.0,Noida,51.0
Teacher,Education,Stable,Low,55284.0,Master,7,7484,7073,20.0,29.0,Hyderabad,14.0
AI Engineer,Technology,Active,High,122272.0,Master,5,8084,10666,76.0,13.0,Chennai,24.0
Cybersecurity Analyst,Technology,Stable,Moderate,104032.0,Bachelor,4,2003,1818,64.0,28.0,Kolkata,44.0
Nurse,Healthcare,Stable,Low,82467.0,Bachelor,4,17086,19762,24.0,15.0,Chennai,42.0
Doctor,Healthcare,Stable,Low,148526.0,Doctorate,10,7314,8142,16.0,9.0,Jaipur,26.0
Graphic Designer,Media,Active,Moderate,62148.0,Bachelor,1,6606,9116,38.0,49.0,Hyderabad,43.0
Accountant,Finance,Stable,Moderate,61245.0,Bachelor,4,11979,14336,26.0,65.0,Jaipur,46.0
Research Scientist,Research,Active,Low,136521.0,Doctorate,5,1170,1366,36.0,4.0,Jaipur,41.0
Accountant,Finance,Stable,Moderate,66147.0,Bachelor,3,7111,7105,37.0,66.0,Delhi,57.0
Cashier,Retail,Declining,High,35699.0,High School,1,11650,7389,15.0,86.0,Noida,61.0
Research Scientist,Research,Active,Low,145067.0,Doctorate,6,5632,6957,38.0,6.0,Pune,39.0
Cashier,Retail,Declining,High,28245.0,High School,2,12064,11018,21.0,77.0,Chennai,61.0
Nurse,Healthcare,Stable,Low,93030.0,Bachelor,6,11366,11740,40.0,11.0,Mumbai,11.0
Cybersecurity Analyst,Technology,Stable,Moderate,99184.0,Bachelor,3,4746,4665,45.0,28.0,Jaipur,88.0
Teacher,Education,Stable,Low,57494.0,Master,6,1784,1946,31.0,13.0,Hyderabad,48.0
Doctor,Healthcare,Stable,Low,174383.0,Doctorate,6,6409,7618,44.0,9.0,Hyderabad,46.0
Teacher,Education,Stable,Low,54084.0,Master,3,17240,16365,27.0,22.0,Noida,8.0
Cashier,Retail,Declining,High,30309.0,High School,3,7756,6200,37.0,91.0,Noida,73.0
Research Scientist,Research,Active,Low,152961.0,Doctorate,6,17024,19982,22.0,18.0,Hyderabad,41.0
Teacher,Education,Stable,Low,60488.0,Master,8,7308,6935,65.0,12.0,Delhi,26.0
Cybersecurity Analyst,Technology,Stable,Moderate,89230.0,Bachelor,4,1556,1451,75.0,30.0,Bengaluru,20.0
Doctor,Healthcare,Stable,Low,153624.0,Doctorate,7,8713,8209,17.0,1.0,Kolkata,26.0
Doctor,Healthcare,Stable,Low,183606.0,Doctorate,5,15384,15554,69.0,16.0,Pune,32.0
Cashier,Retail,Declining,High,33235.0,High School,1,11197,9829,13.0,88.0,Kolkata,58.0
Teacher,Education,Stable,Low,44065.0,Master,4,9961,9025,38.0,20.0,Noida,20.0
Teacher,Education,Stable,Low,50536.0,Master,5,16715,17458,21.0,23.0,Chennai,9.0
Software Engineer,Technology,Active,Moderate,106803.0,Bachelor,4,13874,22169,69.0,33.0,Hyderabad,42.0
Accountant,Finance,Stable,Moderate,73917.0,Bachelor,5,3894,4009,41.0,51.0,Delhi,43.0
Data Scientist,Technology,Active,High,132553.0,Master,4,14117,18719,80.0,17.0,Hyderabad,41.0
Software Engineer,Technology,Active,Moderate,92504.0,Bachelor,2,15987,17866,41.0,28.0,Pune,57.0
Nurse,Healthcare,Stable,Low,93665.0,Bachelor,5,6526,7153,45.0,6.0,Jaipur,22.0
Accountant,Finance,Stable,Moderate,72503.0,Bachelor,1,16754,19234,17.0,61.0,Kolkata,14.0
Data Scientist,Technology,Active,High,141205.0,Master,7,4992,7277,89.0,27.0,Chennai,35.0
Nurse,Healthcare,Stable,Low,84731.0,Bachelor,3,17822,20125,22.0,15.0,Chennai,53.0
Data Scientist,Technology,Active,High,147281.0,Master,2,17805,22537,60.0,22.0,Mumbai,56.0
Software Engineer,Technology,Active,Moderate,126125.0,Bachelor,3,9826,13120,62.0,25.0,Chennai,38.0
Software Engineer,Technology,Active,Moderate,113272.0,Bachelor,5,13119,20824,48.0,32.0,Ahmedabad,49.0
AI Engineer,Technology,Active,High,160603.0,Master,5,4694,7448,74.0,21.0,Chennai,44.0
Research Scientist,Research,Active,Low,151932.0,Doctorate,5,8018,10435,48.0,8.0,Kolkata,47.0
Software Engineer,Technology,Active,Moderate,125114.0,Bachelor,4,3381,4846,82.0,31.0,Kolkata,46.0
Cashier,Retail,Declining,High,31570.0,High School,2,13491,11402,26.0,98.0,Mumbai,31.0
Software Engineer,Technology,Active,Moderate,121746.0,Bachelor,4,11057,17245,67.0,36.0,Kolkata,46.0
Data Scientist,Technology,Active,High,103895.0,Master,7,7496,11100,84.0,14.0,Kolkata,21.0
Software Engineer,Technology,Active,Moderate,113474.0,Bachelor,1,3927,6106,69.0,37.0,Noida,64.0
Factory Worker,Manufacturing,Declining,High,45401.0,High School,0,6452,5254,21.0,84.0,Kolkata,52.0
Research Scientist,Research,Active,Low,157225.0,Doctorate,6,1725,2294,20.0,11.0,Pune,39.0
Nurse,Healthcare,Stable,Low,81518.0,Bachelor,3,12134,12186,52.0,8.0,Chennai,36.0
Teacher,Education,Stable,Low,56233.0,Master,5,12489,13873,57.0,21.0,Chennai,16.0
AI Engineer,Technology,Active,High,155422.0,Master,4,14049,17990,66.0,15.0,Noida,31.0
Cybersecurity Analyst,Technology,Stable,Moderate,102692.0,Bachelor,3,13444,15042,63.0,24.0,Noida,52.0
Doctor,Healthcare,Stable,Low,200448.0,Doctorate,6,8584,10195,19.0,6.0,Ahmedabad,34.0
Accountant,Finance,Stable,Moderate,58298.0,Bachelor,4,3932,3843,56.0,61.0,Chennai,62.0
Data Scientist,Technology,Active,High,117351.0,Master,3,7501,9815,40.0,15.0,Chennai,52.0
Graphic Designer,Media,Active,Moderate,73200.0,Bachelor,2,9935,15415,34.0,34.0,Pune,68.0
Doctor,Healthcare,Stable,Low,171759.0,Doctorate,8,12074,13018,4.0,1.0,Jaipur,39.0
Nurse,Healthcare,Stable,Low,87146.0,Bachelor,5,14443,13007,16.0,1.0,Kolkata,21.0
Data Scientist,Technology,Active,High,126639.0,Master,3,1290,1887,55.0,22.0,Hyderabad,31.0
Data Scientist,Technology,Active,High,126312.0,Master,1,3825,4519,58.0,32.0,Mumbai,41.0
Factory Worker,Manufacturing,Declining,High,43267.0,High School,0,14554,9085,12.0,79.0,Delhi,66.0
AI Engineer,Technology,Active,High,164099.0,Master,4,17270,20989,63.0,26.0,Delhi,49.0
Cybersecurity Analyst,Technology,Stable,Moderate,92296.0,Bachelor,5,13334,12192,63.0,39.0,Jaipur,5.0
Accountant,Finance,Stable,Moderate,78508.0,Bachelor,0,9750,11592,31.0,60.0,Delhi,50.0
Research Scientist,Research,Active,Low,128070.0,Doctorate,9,4243,5795,44.0,15.0,Ahmedabad,34.0
Research Scientist,Research,Active,Low,136919.0,Doctorate,8,7804,9895,40.0,8.0,Kolkata,58.0
Cashier,Retail,Declining,High,28008.0,High School,1,8594,7589,52.0,87.0,Noida,33.0
Nurse,Healthcare,Stable,Low,84118.0,Bachelor,2,2813,2743,44.0,22.0,Jaipur,53.0
Nurse,Healthcare,Stable,Low,83506.0,Bachelor,2,15777,15092,20.0,10.0,Bengaluru,51.0
Factory Worker,Manufacturing,Declining,High,46919.0,High School,0,7346,5655,28.0,87.0,Chennai,56.0
Data Scientist,Technology,Active,High,107913.0,Master,2,3786,4188,71.0,13.0,Kolkata,49.0
Graphic Designer,Media,Active,Moderate,49350.0,Bachelor,1,12819,19892,18.0,57.0,Bengaluru,50.0
Cashier,Retail,Declining,High,30735.0,High School,0,4719,4302,37.0,99.0,Mumbai,52.0
Cybersecurity Analyst,Technology,Stable,Moderate,120050.0,Bachelor,3,14495,15008,70.0,32.0,Chennai,22.0
Data Scientist,Technology,Active,High,126914.0,Master,6,8882,12941,59.0,14.0,Chennai,72.0
Cashier,Retail,Declining,High,32475.0,High School,1,9253,7151,38.0,87.0,Noida,53.0
Doctor,Healthcare,Stable,Low,185959.0,Doctorate,10,7187,7136,44.0,17.0,Ahmedabad,42.0
Accountant,Finance,Stable,Moderate,74940.0,Bachelor,3,2111,2463,48.0,62.0,Bengaluru,18.0
Research Scientist,Research,Active,Low,163263.0,Doctorate,6,14761,18271,54.0,18.0,Delhi,46.0
Accountant,Finance,Stable,Moderate,69768.0,Bachelor,1,11837,13999,41.0,60.0,Jaipur,34.0
Nurse,Healthcare,Stable,Low,84555.0,Bachelor,4,5066,4643,25.0,30.0,Chennai,51.0
AI Engineer,Technology,Active,High,164342.0,Master,4,12645,14982,70.0,14.0,Chennai,58.0
Doctor,Healthcare,Stable,Low,191889.0,Doctorate,5,13687,13921,29.0,19.0,Kolkata,53.0
Factory Worker,Manufacturing,Declining,High,46079.0,High School,2,11790,8061,47.0,86.0,Chennai,65.0
AI Engineer,Technology,Active,High,142700.0,Master,4,3770,5003,66.0,24.0,Ahmedabad,72.0
Research Scientist,Research,Active,Low,143675.0,Doctorate,4,12590,19704,57.0,1.0,Kolkata,56.0
AI Engineer,Technology,Active,High,133806.0,Master,5,16553,25711,72.0,3.0,Pune,60.0
AI Engineer,Technology,Active,High,136117.0,Master,5,17400,25981,72.0,16.0,Bengaluru,27.0
Data Scientist,Technology,Active,High,133202.0,Master,3,4678,7121,71.0,15.0,Kolkata,41.0
Research Scientist,Research,Active,Low,158869.0,Doctorate,6,3190,4682,44.0,1.0,Ahmedabad,42.0
Cybersecurity Analyst,Technology,Stable,Moderate,100523.0,Bachelor,0,9876,10529,82.0,30.0,Chennai,18.0
Accountant,Finance,Stable,Moderate,66602.0,Bachelor,4,10324,11097,36.0,65.0,Pune,40.0
Factory Worker,Manufacturing,Declining,High,49267.0,High School,1,7033,4290,18.0,74.0,Hyderabad,50.0
Nurse,Healthcare,Stable,Low,76194.0,Bachelor,4,4851,4449,35.0,19.0,Kolkata,51.0
Research Scientist,Research,Active,Low,153188.0,Doctorate,5,7974,10100,48.0,1.0,Noida,74.0
Cybersecurity Analyst,Technology,Stable,Moderate,87101.0,Bachelor,3,6318,6224,57.0,37.0,Kolkata,56.0
Doctor,Healthcare,Stable,Low,175564.0,Doctorate,6,17855,21044,25.0,6.0,Jaipur,64.0
Accountant,Finance,Stable,Moderate,67619.0,Bachelor,3,3985,4473,0.0,66.0,Bengaluru,45.0
Data Scientist,Technology,Active,High,141948.0,Master,2,3965,5693,65.0,15.0,Ahmedabad,36.0
Data Scientist,Technology,Active,High,119204.0,Master,3,16241,18743,96.0,28.0,Noida,51.0
Software Engineer,Technology,Active,Moderate,92612.0,Bachelor,2,5110,6398,73.0,36.0,Jaipur,58.0
Doctor,Healthcare,Stable,Low,184230.0,Doctorate,5,12070,13373,28.0,13.0,Ahmedabad,67.0
Teacher,Education,Stable,Low,57684.0,Master,6,3454,3956,34.0,21.0,Hyderabad,28.0
Data Scientist,Technology,Active,High,128740.0,Master,6,9866,14867,49.0,28.0,Jaipur,59.0
Doctor,Healthcare,Stable,Low,178564.0,Doctorate,8,10235,10183,57.0,3.0,Mumbai,43.0
Research Scientist,Research,Active,Low,149388.0,Doctorate,6,10450,16565,30.0,27.0,Delhi,40.0
Graphic Designer,Media,Active,Moderate,62705.0,Bachelor,2,9035,10409,23.0,57.0,Pune,30.0
Research Scientist,Research,Active,Low,163006.0,Doctorate,7,12488,15218,36.0,10.0,Delhi,46.0
Cashier,Retail,Declining,High,31786.0,High School,1,7618,6536,38.0,96.0,Hyderabad,23.0
Accountant,Finance,Stable,Moderate,71476.0,Bachelor,2,6537,7594,46.0,59.0,Noida,25.0
Accountant,Finance,Stable,Moderate,66943.0,Bachelor,4,12770,11533,43.0,65.0,Kolkata,35.0
Graphic Designer,Media,Active,Moderate,63984.0,Bachelor,4,17119,24814,56.0,53.0,Jaipur,56.0
Cashier,Retail,Declining,High,29325.0,High School,0,5085,4696,11.0,97.0,Hyderabad,25.0
Data Scientist,Technology,Active,High,137468.0,Master,4,5539,7148,59.0,32.0,Kolkata,71.0
Nurse,Healthcare,Stable,Low,86748.0,Bachelor,2,13398,12828,34.0,21.0,Chennai,42.0
Graphic Designer,Media,Active,Moderate,63540.0,Bachelor,1,15953,18768,25.0,58.0,Ahmedabad,35.0
Software Engineer,Technology,Active,Moderate,113981.0,Bachelor,4,3712,4714,36.0,34.0,Pune,38.0
Cashier,Retail,Declining,High,38067.0,High School,1,5256,3744,56.0,94.0,Mumbai,73.0
Cashier,Retail,Declining,High,32449.0,High School,0,16359,15178,35.0,99.0,Bengaluru,58.0
Graphic Designer,Media,Active,Moderate,59628.0,Bachelor,3,10096,12825,41.0,31.0,Mumbai,66.0
Research Scientist,Research,Active,Low,135966.0,Doctorate,9,1066,1226,29.0,4.0,Ahmedabad,88.0
Research Scientist,Research,Active,Low,152342.0,Doctorate,7,4959,7814,54.0,4.0,Mumbai,75.0
Teacher,Education,Stable,Low,69436.0,Master,6,4907,5659,20.0,13.0,Mumbai,34.0
Doctor,Healthcare,Stable,Low,167162.0,Doctorate,7,14150,13793,40.0,10.0,Chennai,19.0
Doctor,Healthcare,Stable,Low,206829.0,Doctorate,5,13511,12319,13.0,17.0,Mumbai,37.0
Software Engineer,Technology,Active,Moderate,111052.0,Bachelor,3,17542,25070,80.0,35.0,Hyderabad,50.0
Data Scientist,Technology,Active,High,123909.0,Master,4,15990,24896,88.0,7.0,Pune,42.0
Doctor,Healthcare,Stable,Low,183223.0,Doctorate,8,6651,6735,35.0,5.0,Chennai,43.0
Accountant,Finance,Stable,Moderate,76444.0,Bachelor,3,7975,7204,36.0,63.0,Noida,35.0
Cashier,Retail,Declining,High,37611.0,High School,2,12025,7600,34.0,89.0,Delhi,47.0
Cybersecurity Analyst,Technology,Stable,Moderate,85189.0,Bachelor,2,17287,17311,76.0,28.0,Ahmedabad,35.0
Doctor,Healthcare,Stable,Low,175101.0,Doctorate,5,17239,19264,25.0,1.0,Ahmedabad,58.0
Data Scientist,Technology,Active,High,107434.0,Master,4,2851,4370,44.0,19.0,Ahmedabad,47.0
Cashier,Retail,Declining,High,29217.0,High School,3,4964,3926,49.0,79.0,Delhi,64.0
Nurse,Healthcare,Stable,Low,84944.0,Bachelor,4,8938,10017,20.0,23.0,Delhi,57.0
Nurse,Healthcare,Stable,Low,84673.0,Bachelor,7,4106,3830,46.0,17.0,Delhi,48.0
Software Engineer,Technology,Active,Moderate,118802.0,Bachelor,2,2009,3083,74.0,44.0,Noida,30.0
AI Engineer,Technology,Active,High,126856.0,Master,8,6439,8164,83.0,24.0,Kolkata,25.0
Accountant,Finance,Stable,Moderate,68348.0,Bachelor,4,2979,3505,6.0,64.0,Jaipur,49.0
Teacher,Education,Stable,Low,65700.0,Master,6,14299,16900,38.0,19.0,Kolkata,22.0
Research Scientist,Research,Active,Low,148888.0,Doctorate,6,1639,2031,31.0,21.0,Delhi,77.0
Cashier,Retail,Declining,High,31602.0,High School,0,15102,10222,11.0,73.0,Pune,57.0
Research Scientist,Research,Active,Low,140361.0,Doctorate,6,7660,10177,41.0,7.0,Noida,44.0
Cybersecurity Analyst,Technology,Stable,Moderate,77409.0,Bachelor,4,12829,12008,73.0,34.0,Ahmedabad,51.0
Software Engineer,Technology,Active,Moderate,113951.0,Bachelor,2,14430,22337,65.0,27.0,Chennai,7.0
Teacher,Education,Stable,Low,53159.0,Master,6,5377,5727,10.0,8.0,Mumbai,60.0
Research Scientist,Research,Active,Low,135967.0,Doctorate,4,1038,1422,21.0,13.0,Bengaluru,29.0
Cybersecurity Analyst,Technology,Stable,Moderate,89439.0,Bachelor,4,16479,18364,60.0,37.0,Bengaluru,30.0
Research Scientist,Research,Active,Low,157457.0,Doctorate,5,1693,2050,9.0,1.0,Ahmedabad,34.0
Data Scientist,Technology,Active,High,137788.0,Master,3,9059,11687,54.0,16.0,Ahmedabad,58.0
Cashier,Retail,Declining,High,36661.0,High School,0,2991,2207,26.0,86.0,Noida,58.0
Graphic Designer,Media,Active,Moderate,64704.0,Bachelor,2,17781,25637,38.0,46.0,Kolkata,36.0
Research Scientist,Research,Active,Low,142705.0,Doctorate,7,15242,19364,42.0,10.0,Jaipur,38.0
Cybersecurity Analyst,Technology,Stable,Moderate,86387.0,Bachelor,3,6381,7400,60.0,49.0,Bengaluru,59.0
Accountant,Finance,Stable,Moderate,65545.0,Bachelor,0,2150,2157,43.0,66.0,Jaipur,50.0
Cashier,Retail,Declining,High,37371.0,High School,0,8686,6162,55.0,91.0,Chennai,50.0
Cashier,Retail,Declining,High,35077.0,High School,0,9890,9049,37.0,82.0,Jaipur,54.0
AI Engineer,Technology,Active,High,153777.0,Master,7,15260,17864,46.0,11.0,Ahmedabad,36.0
Research Scientist,Research,Active,Low,116085.0,Doctorate,8,10976,13950,54.0,19.0,Noida,41.0
Accountant,Finance,Stable,Moderate,73199.0,Bachelor,3,14414,13574,49.0,64.0,Delhi,57.0
Factory Worker,Manufacturing,Declining,High,48431.0,High School,2,14429,10228,11.0,84.0,Pune,42.0
Data Scientist,Technology,Active,High,130696.0,Master,5,16557,26176,50.0,20.0,Chennai,35.0
Graphic Designer,Media,Active,Moderate,59325.0,Bachelor,2,9815,13525,51.0,39.0,Pune,25.0
Teacher,Education,Stable,Low,66203.0,Master,3,11376,11342,54.0,21.0,Ahmedabad,58.0
AI Engineer,Technology,Active,High,164946.0,Master,7,14994,17563,66.0,17.0,Ahmedabad,56.0
Teacher,Education,Stable,Low,56479.0,Master,3,12811,14046,32.0,13.0,Chennai,38.0
Software Engineer,Technology,Active,Moderate,105150.0,Bachelor,3,17706,20498,74.0,41.0,Delhi,37.0
Cashier,Retail,Declining,High,32489.0,High School,1,4373,3866,26.0,83.0,Ahmedabad,56.0
Factory Worker,Manufacturing,Declining,High,50205.0,High School,2,9894,8088,31.0,93.0,Ahmedabad,38.0
Accountant,Finance,Stable,Moderate,81031.0,Bachelor,4,12469,11931,1.0,63.0,Bengaluru,43.0
Data Scientist,Technology,Active,High,137723.0,Master,8,7351,10629,56.0,12.0,Chennai,48.0
Nurse,Healthcare,Stable,Low,76500.0,Bachelor,5,5337,5868,47.0,1.0,Delhi,52.0
Data Scientist,Technology,Active,High,119860.0,Master,4,7091,10932,75.0,6.0,Kolkata,45.0
AI Engineer,Technology,Active,High,172715.0,Master,3,14015,20463,65.0,18.0,Jaipur,29.0
Cybersecurity Analyst,Technology,Stable,Moderate,92604.0,Bachelor,2,2911,2965,75.0,24.0,Hyderabad,62.0
AI Engineer,Technology,Active,High,143063.0,Master,4,13744,18144,67.0,12.0,Chennai,39.0
Nurse,Healthcare,Stable,Low,101093.0,Bachelor,4,6630,7262,32.0,14.0,Pune,28.0
Accountant,Finance,Stable,Moderate,65635.0,Bachelor,4,8296,9498,35.0,64.0,Hyderabad,60.0
Data Scientist,Technology,Active,High,133644.0,Master,4,2081,2409,100.0,14.0,Ahmedabad,41.0
Doctor,Healthcare,Stable,Low,169406.0,Doctorate,6,2285,2190,58.0,1.0,Kolkata,52.0
Cybersecurity Analyst,Technology,Stable,Moderate,100383.0,Bachelor,4,11977,11765,69.0,30.0,Mumbai,16.0
Teacher,Education,Stable,Low,63070.0,Master,6,17873,19556,29.0,27.0,Pune,40.0
AI Engineer,Technology,Active,High,132263.0,Master,3,5865,7901,72.0,15.0,Chennai,30.0
Accountant,Finance,Stable,Moderate,75418.0,Bachelor,2,14097,15106,22.0,80.0,Ahmedabad,36.0
Nurse,Healthcare,Stable,Low,96865.0,Bachelor,6,5003,4822,33.0,5.0,Delhi,47.0
Nurse,Healthcare,Stable,Low,85599.0,Bachelor,2,7557,7111,26.0,22.0,Ahmedabad,40.0
Graphic Designer,Media,Active,Moderate,56163.0,Bachelor,4,1810,2289,24.0,60.0,Bengaluru,5.0
Research Scientist,Research,Active,Low,163651.0,Doctorate,7,12736,17939,9.0,1.0,Hyderabad,38.0
Teacher,Education,Stable,Low,53662.0,Master,3,14375,16873,30.0,20.0,Jaipur,47.0
Cybersecurity Analyst,Technology,Stable,Moderate,101038.0,Bachelor,4,7361,6946,80.0,27.0,Delhi,22.0
